voltage_v,current_a,active_power_kw,reactive_power_kvar,load_demand_kwh,household_type,occupancy_level,appliance_usage_category,deviation_neighborhood_ratio,zero_consumption_flag,load_spike_flag,fraudulent,broader_zone,locality
231.34,54.51,13.08,3.37,11.74,Residential,132,Medium,0.88,0,0,0,Western Suburbs,Santacruz
231.81,62.48,12.39,2.83,10.18,Residential,22,Medium,1.22,0,0,0,Western Suburbs,Santacruz
233.02,69.13,15.56,4.27,17.54,Commercial,5,Medium,1.11,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
223.89,21.91,4.75,1.02,5.72,Commercial,2,Medium,0.9,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
229.76,31.05,6.56,0.99,4.27,Commercial,52,High,1.04,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
224.52,39.14,6.29,1.52,5.26,Residential,7,High,1.03,0,0,0,Central Suburbs,Lower Parel
221.75,11.67,2.32,0.87,3.77,Commercial,69,Low,1.15,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
224.09,8.75,3.13,0.38,2.74,Commercial,29,Medium,1.03,0,0,0,Central Suburbs,Ghatkopar
232.13,28.01,6.18,2.6,6.45,Industrial,31,High,1.09,0,1,0,Industrial / Peripheral,Trombay
231.82,47.02,6.84,3.44,6.44,Residential,33,Low,1.31,0,0,0,Western Residential,Kandivali East
235.33,36.43,9.03,4.61,10.1,Industrial,144,Low,0.87,0,1,1,Navi Mumbai / Panvel,Kharghar
233.58,16.04,2.76,0.24,3.36,Industrial,4,Low,0.84,0,0,0,Western Residential,Borivali
236.11,39.84,8.93,3.28,6.3,Commercial,4,Medium,0.63,1,0,0,Industrial / Peripheral,Sewri
230.9,12.64,4.08,1.74,3.92,Commercial,15,Low,1.4,0,0,1,Industrial / Peripheral,Trombay
228.18,46.14,9.09,1.96,7.46,Residential,202,High,1.09,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
231.52,69.64,15.5,5.15,17.87,Residential,5,Medium,0.67,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
230.09,8.93,1.68,0.58,1.93,Residential,5,High,0.99,0,0,1,Industrial / Peripheral,Mankhurd
226.33,64.4,14.48,3.34,13.71,Residential,29,High,1.0,0,0,0,South Mumbai,Girgaon
223.72,58.94,9.96,2.73,8.07,Residential,3,Medium,1.1,0,0,0,Western Suburbs,Bandra East
238.88,35.52,5.22,1.73,5.53,Residential,232,High,1.02,0,0,1,Thane & Beyond,Bhiwandi
235.6,22.19,5.41,2.94,5.43,Residential,205,Medium,1.24,0,0,0,Powai & Lakeside,Hiranandani Gardens
230.29,59.25,12.58,1.92,11.97,Residential,3,Low,0.78,0,0,0,Western Suburbs,Santacruz
240.79,59.09,13.67,3.06,14.64,Commercial,57,Medium,1.08,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
228.19,57.41,9.55,2.05,9.78,Residential,2,Medium,0.92,0,0,0,Western Suburbs,Juhu
234.22,62.52,12.1,2.79,11.84,Commercial,14,Medium,0.89,0,0,0,Central Suburbs,Lower Parel
228.92,56.65,11.17,3.02,11.78,Residential,199,Low,1.15,0,0,0,Central Suburbs,Kurla
225.27,33.76,5.97,1.79,7.63,Commercial,5,High,1.08,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
227.54,8.32,1.63,0.89,1.94,Residential,4,High,0.63,1,1,1,Industrial / Peripheral,Dharavi
232.8,14.14,2.82,0.98,3.88,Commercial,5,Medium,0.91,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
220.53,25.93,3.89,0.67,3.02,Industrial,18,High,1.1,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
232.66,14.33,3.52,0.89,3.89,Commercial,9,High,0.87,0,0,0,Central Suburbs,Parel
